site_number,type,facility_name,faa_ident,icao_ident,region,district_office,state,state_full,county,city,ownership,use,manager,manager_phone,latitude,latitude_sec,longitude,longitude_sec,elevation,magnetic_variation,tpa,vfr_sectional,boundary_artcc,boundary_artcc_name,responsible_artcc,responsible_artcc_name,fss_phone_number,fss_phone_numer_tollfree,notam_facility_ident,status,certification_typedate,customs_airport_of_entry,military_joint_use,military_landing,lighting_schedule,beacon_schedule,control_tower,unicom,ctaf,effective_date
03147.A,AIRPORT,Daytona beach intl,DAB,KDAB,ASO,ORL,FL,Florida,Volusia,DAYTONA BEACH,PU,PU,"MS KAREN K FEASTER, AAE, IACE, ACE",386-248-8030,29-10-47.6720N,105047.6720N,081-03-28.9520W,291808.9520W,34,05W,965,JACKSONVILLE,ZJX,JACKSONVILLE,ZJX,JACKSONVILLE,,1-800-WX-BRIEF,DAB,O,I C S 05/1973,False,False,True,SS-SR,SS-SR,True,122.950,,11/04/2021
03198.2A,AIRPORT,Southwest florida intl,RSW,KRSW,ASO,ORL,FL,Florida,Lee,FORT MYERS,PU,PU,BEN SIEGEL,239-590-4400,26-32-10.2000N,095530.2000N,081-45-18.6000W,294318.6000W,29,04W,,MIAMI,ZMA,MIAMI,ZMA,MIAMI,,1-800-WX-BRIEF,RSW,O,I D S 05/1983,False,False,True,SEE RMK,SS-SR,True,122.950,128.750,11/04/2021
03534.A,AIRPORT,Eglin afb/destin-ft walton beach,VPS,KVPS,ASO,ORL,FL,Florida,Okaloosa,VALPARAISO/DESTIN-FT WALTON BEACH,MA,PU,TRACY STAGE,850-651-7160,30-28-59.5899N,109739.5899N,086-31-33.7596W,311493.7596W,84,00E,,NEW ORLEANS,ZJX,JACKSONVILLE,ZJX,JACKSONVILLE,,1-800-WX-BRIEF,VPS,O,I C S 05/1973,False,True,False,SS-SR,SS-SR,True,,,11/04/2021
03210.A,AIRPORT,Gainesville rgnl,GNV,KGNV,ASO,ORL,FL,Florida,Alachua,GAINESVILLE,PU,PU,ALLAN PENKSA,352-373-0249,29-41-24.2000N,106884.2000N,082-16-18.4000W,296178.4000W,151,04W,,JACKSONVILLE,ZJX,JACKSONVILLE,ZJX,JACKSONVILLE,,1-800-WX-BRIEF,GNV,O,I B S 05/1973,False,False,True,SEE RMK,SS-SR,True,122.950,119.550,11/04/2021
03250.1A,AIRPORT,Jacksonville intl,JAX,KJAX,ASO,ORL,FL,Florida,Duval,JACKSONVILLE,PU,PU,MR. TERRY DLUGOS,(904) 741-3866,30-29-38.5640N,109778.5640N,081-41-16.2480W,294076.2480W,29,06W,,JACKSONVILLE,ZJX,JACKSONVILLE,ZJX,JACKSONVILLE,,1-800-WX-BRIEF,JAX,O,I D S 05/1973,False,False,True,SS-SR,SS-SR,True,122.950,,11/04/2021
03263.A,AIRPORT,Key west intl,EYW,KEYW,ASO,ORL,FL,Florida,Monroe,KEY WEST,PU,PU,RICHARD STRICKLAND,305-809-5200,24-33-22.0310N,088402.0310N,081-45-35.8410W,294335.8410W,3,04W,,MIAMI,ZMA,MIAMI,ZMA,MIAMI,,1-800-WX-BRIEF,EYW,O,I B S 12/1978,True,False,True,SEE RMK,SS-SR,True,122.950,118.200,11/04/2021
03321.A,AIRPORT,Melbourne orlando intl,MLB,KMLB,ASO,ORL,FL,Florida,Brevard,MELBOURNE,PU,PU,GREG DONOVAN,321-723-6227,28-06-09.9000N,101169.9000N,080-38-42.9000W,290322.9000W,33,07W,,JACKSONVILLE,ZMA,MIAMI,ZJX,JACKSONVILLE,,1-800-WX-BRIEF,MLB,O,I C S 05/1973,False,False,True,SEE RMK,SS-SR,True,122.950,118.200,11/04/2021
03333.A,AIRPORT,Miami intl,MIA,KMIA,ASO,ORL,FL,Florida,Dade,MIAMI,PU,PU,LESTER SOLA,305-876-7077,25-47-43.3000N,092863.3000N,080-17-24.4170W,289044.4170W,9,05W,,MIAMI,ZMA,MIAMI,ZMA,MIAMI,,1-800-WX-BRIEF,MIA,O,I E S 05/1973,True,False,True,,SS-SR,True,123.000,,11/04/2021
03407.A,AIRPORT,Orlando intl,MCO,KMCO,ASO,ORL,FL,Florida,Orange,ORLANDO,PU,PU,"PHILLIP N.  BROWN, A.A.E.",407-825-7445,28-25-45.8000N,102345.8000N,081-18-32.4000W,292712.4000W,96,06W,,JACKSONVILLE,ZJX,JACKSONVILLE,ZJX,JACKSONVILLE,,1-800-WX-BRIEF,MCO,O,I E S 05/1973,False,False,True,SS-SR,SS-SR,True,122.950,,11/04/2021
03430.3A,AIRPORT,Northwest florida beaches intl,ECP,KECP,ASO,ORL,FL,Florida,Bay,PANAMA CITY,PU,PU,PARKER MCCLELLAN,850-763-6751,30-21-29.6670N,109289.6670N,085-47-44.1680W,308864.1680W,68,03W,,NEW ORLEANS,ZJX,JACKSONVILLE,ZJX,JACKSONVILLE,,1-800-WX-BRIEF,ECP,O,I C S 05/2010,,False,,SEE RMK,SS-SR,True,,118.950,11/04/2021
